customer_id,cus_name,phone_no,emel,membership,customer_rating,customer_review,rep_guest,prev_cancel
CUS-001,Ernest Barnes,669-792-1661,Ernest.Barnes31@outlook.com,Platinum,5,Excellent,0,0
CUS-002,Andrea Baker,858-637-6955,Andrea_Baker94@aol.com,Gold,4,Very Good,0,0
CUS-003,Rebecca Parker,652-885-2745,Rebecca_Parker@comcast.net,Platinum,5,Excellent,0,0
CUS-004,Laura Murray,364-656-8427,Laura_M@gmail.com,Platinum,4,Very Good,0,0
CUS-005,Linda Hines,713-226-5883,LHines@verizon.com,Platinum,5,Excellent,0,0
CUS-006,Jasmine Fletcher,190-271-6743,JFletcher43@xfinity.com,Gold,5,Excellent,0,0
CUS-007,Dylan Rangel,420-332-5209,Rangel.Dylan@comcast.net,Gold,5,Excellent,0,0
CUS-008,William Velez,286-669-4333,Velez_William@mail.com,Gold,4,Very Good,0,0
CUS-009,Steven Murphy,341-726-5787,Steven.Murphy54@aol.com,Gold,5,Excellent,0,0
CUS-010,Michael Moore,316-648-6176,MichaelMoore81@outlook.com,Gold,4,Very Good,0,0
CUS-011,Priscilla Collins PhD,833-887-7898,PhD.Priscilla74@att.com,Platinum,5,Excellent,0,0
CUS-012,Laurie Smith,804-383-4080,Smith.Laurie@att.com,Gold,2,Poor,0,0
CUS-013,Casey Thomas,211-071-2173,Casey_T78@outlook.com,Gold,5,Excellent,0,0
CUS-014,Rachel Friedman,435-075-8409,Rachel.F@protonmail.com,Platinum,5,Excellent,0,0
CUS-015,Edward Torres,790-746-7471,Edward.T@zoho.com,Standard,5,Excellent,0,0
CUS-016,Samuel Zavala,649-384-5387,Zavala_Samuel46@xfinity.com,Gold,5,Excellent,0,0
CUS-017,Dr. Victor Martin,331-430-8824,Dr.Martin@xfinity.com,Gold,5,Excellent,0,0
CUS-018,Sara Lee,573-306-9938,Sara.L@hotmail.com,Platinum,5,Excellent,0,0
CUS-019,Curtis Rodriguez,466-424-2102,CRodriguez@verizon.com,Platinum,4,Very Good,0,0
CUS-020,Stephanie Schmidt,896-642-1049,StephanieSchmidt@hotmail.com,Platinum,5,Excellent,0,0
CUS-021,John Matthews,952-496-4398,John.Matthews@aol.com,Platinum,4,Very Good,0,0
CUS-022,Robert Chung,382-465-6552,Robert.Chung47@yandex.com,Platinum,5,Excellent,0,0
CUS-023,Mark Garcia,784-675-4921,MGarcia16@comcast.net,Platinum,5,Excellent,0,0
CUS-024,Brandon Taylor,227-329-7167,BrandonTaylor@hotmail.com,Gold,5,Excellent,0,0
CUS-025,Angie Sanchez,211-889-2476,Angie_Sanchez@att.com,Platinum,4,Very Good,0,0
CUS-026,Alexis King,103-516-5853,King_Alexis70@hotmail.com,Gold,5,Excellent,0,0
CUS-027,Michael Davidson,336-525-2460,MichaelDavidson82@att.com,Standard,5,Excellent,0,0
CUS-028,Jaime Flynn,549-866-3721,JaimeFlynn29@gmail.com,Gold,4,Very Good,0,0
CUS-029,Mrs. Alicia Williams,427-564-4927,Mrs..W61@yandex.com,Platinum,5,Excellent,0,0
CUS-030,Heather Hart,431-329-6663,Heather.H@xfinity.com,Standard,5,Excellent,0,0
CUS-031,Diamond Wilson,870-563-6202,Wilson.Diamond@comcast.net,Standard,4,Very Good,0,0
CUS-032,Paul Williams,789-736-8837,Williams_Paul@xfinity.com,Platinum,5,Excellent,0,0
CUS-033,Reginald Cunningham,800-249-2144,Reginald_C57@outlook.com,Platinum,5,Excellent,0,0
CUS-034,Willie Sims,790-830-7635,Willie_S@yahoo.com,Platinum,5,Excellent,0,0
CUS-035,Alex Brown,956-737-1944,Alex.B@zoho.com,Gold,5,Excellent,0,0
CUS-036,Virginia Holden,734-480-9929,Virginia.H@aol.com,Platinum,3,Good,0,0
CUS-037,John Smith,624-965-3392,John_Smith@xfinity.com,Platinum,4,Very Good,0,0
CUS-038,Jennifer Barton,902-792-8048,JBarton@hotmail.com,Gold,4,Very Good,0,0
CUS-039,Richard Holt,517-420-6344,Richard.Holt@hotmail.com,Platinum,5,Excellent,0,0
CUS-040,Amy Green,858-208-4589,Amy.Green56@gmail.com,Gold,5,Excellent,0,0
CUS-041,Kimberly Perez,320-615-3590,Perez.Kimberly84@hotmail.com,Platinum,5,Excellent,0,0
CUS-042,Carly Armstrong,521-784-3601,CArmstrong@mail.com,Gold,4,Very Good,0,0
CUS-043,Scott Hammond,632-108-8350,ScottHammond41@verizon.com,Gold,5,Excellent,0,0
CUS-044,Debra Fuller,229-134-3710,Debra.Fuller@protonmail.com,Standard,4,Very Good,0,0
CUS-045,Rachel Davis,549-261-2558,RachelDavis@mail.com,Platinum,5,Excellent,0,0
CUS-046,Michael Mccormick,380-830-9585,Mccormick.Michael19@aol.com,Platinum,5,Excellent,0,0
